Url playlist;;List Url;Type ;Expert name;Company name;Sub-topics;YouTube account;;
https://www.youtube.com/watch?v;SRBTQPv6qwM&list;PLd4QmRqz5qYyKcGWv8T6r8b6ficj8NLKv;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;#NOM?;PLd4QmRqz5qYwZckrzOBbyoSkR_uZSWQaf;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;IkCWddTmUK8&list;PLd4QmRqz5qYzj5hXKQd9WKbbsRMHQK3nl;Playlist;;RedKettle Efficient Hunting;Jager;https://www.youtube.com/@RedKettleEfficientHunting/featured;;
https://www.youtube.com/watch?v;4efkmfC0O2A&list;PLT4LLM91GU1tDYtkriUPhQvuIqISuW8eS;Playlist;Eve Hanlin;Garden Project Academy;Tuinontwerper;https://www.youtube.com/@gardenprojectacademy/featured;;
https://www.youtube.com/watch?v;bwrQJvbQTKI&list;PLT4LLM91GU1uYT6Y1jQCkzC4A5Qq0e54r;Playlist;Eve Hanlin;Garden Project Academy;Tuinontwerper;https://www.youtube.com/@gardenprojectacademy/featured;;
https://www.youtube.com/watch?v;4uoiZq72ueA&list;PLT4LLM91GU1taGlpmsK2xalpRV9Vp8Vqc;Playlist;Eve Hanlin;Garden Project Academy;Tuinontwerper;https://www.youtube.com/@gardenprojectacademy/featured;;
https://www.youtube.com/watch?v;z8Lf4YprlkQ&list;PLT4LLM91GU1vhHxl49l-u2pIYgfBTNBtg;Playlist;Eve Hanlin;Garden Project Academy;Tuinontwerper;https://www.youtube.com/@gardenprojectacademy/featured;;
https://www.youtube.com/watch?v;MS2GF-dpKKU&list;PLT4LLM91GU1vj45iMOGcvApYPR0FaAZa1;Playlist;Eve Hanlin;Garden Project Academy;Tuinontwerper;https://www.youtube.com/@gardenprojectacademy/featured;;
https://www.youtube.com/watch?v;AImMZVm1FUc&list;PLR1VPrvzgShjZHVtEwc5HDCFogry8TcnT;Playlist;;Bedrock Wine Co.;Wijnboer;https://www.youtube.com/@bedrockwineco.4022;;
https://www.youtube.com/watch?v;sVWvIQ2U6vw&list;PLR1VPrvzgShhQhFH7hSfZ7y6N-0rSRvY-;Playlist;;Bedrock Wine Co.;Wijnboer;https://www.youtube.com/@bedrockwineco.4023;;
